serie_bac,note_maths,note_physique,niveau_prog,appetence_comm,parcours_cible
Technique,8.266035890065748,7.839753310479032,2,5,Management / SI
Technique,6.663839253287164,9.128693117912585,3,3,Génie Logiciel
Technique,16.48813293446755,16.74209406160036,4,4,Intelligence Artificielle
Technique,13.963096969062173,10.42795279770996,5,2,Intelligence Artificielle
Litteraire,11.833245987268635,11.652298619539168,3,2,Génie Logiciel
OSE,12.839905878959462,13.610203192066262,5,3,Intelligence Artificielle
S,8.62353285810487,12.487045663917813,5,1,Génie Logiciel
S,19.33725593885048,11.451256715430729,1,1,Génie Logiciel
OSE,12.387663545925683,12.094883007398677,3,1,Génie Logiciel
S,12.328184383814678,18.210246755714827,3,2,Réseaux & Systèmes
OSE,14.177299871696075,10.827143608899243,5,1,Intelligence Artificielle
S,13.443027695210139,11.603297140144903,4,5,Intelligence Artificielle
Technique,12.671652072837395,14.151963188022837,1,4,Réseaux & Systèmes
S,9.628576633664064,14.31657779887395,5,2,Génie Logiciel
OSE,13.414405071407987,14.56109091668114,2,3,Réseaux & Systèmes
OSE,17.6460734894251,12.916190666087553,2,3,Génie Logiciel
OSE,16.036260138464932,7.570985261808549,1,4,Management / SI
OSE,16.77955987991819,15.900294596903288,4,2,Intelligence Artificielle
OSE,10.466352970706446,7.560963820943936,5,1,Génie Logiciel
Litteraire,9.031185539224257,11.907906395717099,3,1,Génie Logiciel
Litteraire,11.622639239701055,8.737172449941927,1,5,Management / SI
S,12.167174736866084,10.807584960221023,4,5,Intelligence Artificielle
OSE,15.282574555412847,11.986287230910442,3,1,Génie Logiciel
S,6.922606110855542,11.964071646350819,2,3,Génie Logiciel
OSE,16.58865095838184,12.265762262705854,2,3,Génie Logiciel
OSE,11.525976304263033,15.841133807175941,3,5,Réseaux & Systèmes
Litteraire,10.71935679015774,12.36060290454194,1,4,Management / SI
Litteraire,8.963686874219498,10.267530094128054,2,1,Génie Logiciel
Technique,7.0354299844026915,13.892261504865072,5,5,Management / SI
Litteraire,14.469511751885744,14.568411466773922,3,5,Réseaux & Systèmes
Technique,12.219953901565212,7.317176554589023,3,1,Génie Logiciel
Technique,8.130117300776838,12.792200209549573,2,1,Génie Logiciel
Technique,8.114763683809151,13.103518226932696,1,3,Réseaux & Systèmes
Technique,10.992645902129615,10.107309489920024,5,4,Management / SI
Technique,17.007064575868178,15.127120439934858,1,4,Réseaux & Systèmes
S,11.221225945909186,10.54983323890242,4,1,Génie Logiciel
Litteraire,7.490571140645681,11.376729360414627,4,2,Génie Logiciel
Technique,11.262770807742168,10.48078452714839,2,5,Management / SI
OSE,11.181829290756989,11.046737142744403,2,5,Management / SI
Litteraire,3.9093400711752846,7.711174739314394,2,1,Génie Logiciel
Litteraire,11.837115400446564,6.6798473522171165,4,2,Génie Logiciel
Technique,11.307196409373965,15.783515189674917,1,3,Réseaux & Systèmes
S,14.088619094440254,8.459115955045016,1,1,Génie Logiciel
Technique,17.546868284836037,8.025822951631078,2,1,Génie Logiciel
S,15.379695088643272,4.539829659188856,5,5,Intelligence Artificielle
OSE,11.193333928335509,9.083114756931494,1,1,Génie Logiciel
Litteraire,8.680422273774989,7.030730619777505,4,1,Génie Logiciel
OSE,19.72007940974958,15.926045480409108,3,1,Réseaux & Systèmes
S,12.177655302043465,14.029451268027902,3,5,Réseaux & Systèmes
S,12.041787875738839,8.935548964466829,3,3,Génie Logiciel
OSE,11.92762473866999,17.757307416032926,5,3,Génie Logiciel
S,12.594254282303565,13.945296460974783,2,1,Réseaux & Systèmes
OSE,11.566918764228173,10.025505849474133,4,5,Management / SI
Litteraire,10.279013979359291,3.5017828553792807,5,3,Génie Logiciel
OSE,10.359423176278824,17.872827717772225,4,3,Génie Logiciel
Litteraire,11.901740189352005,6.831282599709212,4,3,Génie Logiciel
OSE,10.369725686598706,6.063803759129325,2,5,Management / SI
S,9.861462651968507,14.067711296028921,3,5,Réseaux & Systèmes
OSE,12.31929068307569,18.319257219017818,2,1,Réseaux & Systèmes
S,11.235068347737434,15.152818455531555,5,4,Management / SI
OSE,16.511978965748064,12.69172736015708,5,3,Intelligence Artificielle
OSE,4.047090574820964,12.784263024995859,5,4,Management / SI
Technique,15.274520555767385,13.560246676340924,2,5,Réseaux & Systèmes
S,15.738255577492886,13.276785769360295,4,5,Intelligence Artificielle
Technique,5.779829302775552,11.843574271908128,4,5,Management / SI
S,10.971937217758953,11.312603311855629,1,4,Management / SI
Technique,10.885677402012625,10.812220616301433,5,5,Management / SI
Litteraire,7.7774649158465365,8.738106233399972,4,1,Génie Logiciel
OSE,9.666549937227375,10.157974769399678,1,5,Management / SI
S,8.668272463602513,5.921129557413844,4,2,Génie Logiciel
S,17.256811330270867,10.70498111961575,5,4,Intelligence Artificielle
OSE,14.807035179442384,8.034226678547247,3,2,Génie Logiciel
S,15.814665284982476,7.689232048352688,5,5,Intelligence Artificielle
S,14.165016192129706,11.539682453460436,2,1,Génie Logiciel
Technique,8.612844686348312,15.176006859033798,4,3,Génie Logiciel
S,10.42643920116068,13.754949818006939,4,5,Management / SI
Litteraire,13.468123683683753,6.288498189130469,2,1,Génie Logiciel
Litteraire,8.333616573324164,8.031115590288987,2,4,Management / SI
OSE,14.138995290517164,13.822313563964649,3,2,Réseaux & Systèmes
S,11.279023805525595,8.052537819385071,4,2,Génie Logiciel
OSE,10.875537577351208,10.326100550008926,4,2,Génie Logiciel
